date,sku_id,warehouse,direction,qty
2026-03-22,a05,central,out,3
2026-03-22,a06,central,out,1
2026-03-22,a06,central,out,2
2026-03-22,a07,central,out,1
2026-03-22,a09,central,out,4
2026-03-22,c10,central,out,1
2026-03-22,f02,central,out,4
2026-03-22,f10,central,out,1
2026-03-22,s02,central,out,4
2026-03-22,s09,central,out,1
2026-03-22,a01,north,out,1
2026-03-22,a03,north,out,4
2026-03-22,a03,north,out,3
2026-03-22,a07,north,out,4
2026-03-22,a09,north,out,4
2026-03-22,a10,north,out,4
2026-03-22,c04,north,out,4
2026-03-22,c07,north,out,4
2026-03-22,c08,north,out,4
2026-03-22,c10,north,out,4
2026-03-22,d08,north,out,4
2026-03-22,e05,north,out,4
2026-03-22,f09,north,out,2
2026-03-22,s05,north,out,3
2026-03-22,a06,south,out,3
2026-03-22,d05,south,out,1
2026-03-22,d06,south,out,4
2026-03-22,d07,south,out,3
2026-03-22,e07,south,out,2
2026-03-22,f02,south,out,1
2026-03-22,f04,south,out,4
2026-03-22,f07,south,out,1
