date,sku_id,warehouse,direction,qty
2026-03-29,a03,central,in,44
2026-03-29,a09,central,in,79
2026-03-29,c02,central,in,41
2026-03-29,c07,central,in,80
2026-03-29,e07,central,in,42
2026-03-29,e09,central,in,46
2026-03-29,e10,central,in,69
2026-03-29,f08,central,in,72
2026-03-29,s09,central,in,22
2026-03-29,c10,north,in,32
2026-03-29,d02,north,in,46
2026-03-29,d06,north,in,46
2026-03-29,d07,north,in,74
2026-03-29,e02,north,in,41
2026-03-29,c10,south,in,61
2026-03-29,f03,south,in,31
2026-03-29,s08,south,in,39
