date,sku_id,warehouse,direction,qty
2026-04-04,a10,central,out,4
2026-04-04,c06,central,out,2
2026-04-04,c10,central,out,4
2026-04-04,d03,central,out,1
2026-04-04,d06,central,out,3
2026-04-04,d08,central,out,3
2026-04-04,e01,central,out,3
2026-04-04,e03,central,out,3
2026-04-04,e04,central,out,4
2026-04-04,e06,central,out,3
2026-04-04,e06,central,out,2
2026-04-04,f04,central,out,2
2026-04-04,f07,central,out,3
2026-04-04,f08,central,out,2
2026-04-04,s08,central,out,3
2026-04-04,a04,north,out,2
2026-04-04,c01,north,out,2
2026-04-04,c02,north,out,4
2026-04-04,c04,north,out,1
2026-04-04,c07,north,out,3
2026-04-04,c08,north,out,2
2026-04-04,c10,north,out,2
2026-04-04,d01,north,out,2
2026-04-04,d01,north,out,3
2026-04-04,d07,north,out,4
2026-04-04,e01,north,out,4
2026-04-04,f03,north,out,1
2026-04-04,f06,north,out,2
2026-04-04,f07,north,out,1
2026-04-04,s02,north,out,4
2026-04-04,c01,south,out,2
2026-04-04,d03,south,out,4
2026-04-04,d07,south,out,2
2026-04-04,d08,south,out,2
2026-04-04,d10,south,out,1
2026-04-04,f01,south,out,1
2026-04-04,f09,south,out,3
2026-04-04,s01,south,out,2
