date,sku_id,warehouse,direction,qty
2026-05-16,d02,central,in,36
2026-05-16,d03,central,in,50
2026-05-16,d05,central,in,40
2026-05-16,d08,central,in,38
2026-05-16,d09,central,in,22
2026-05-16,d09,central,in,33
2026-05-16,f02,central,in,34
2026-05-16,s07,central,in,72
2026-05-16,a09,north,in,41
2026-05-16,a10,north,in,26
2026-05-16,a10,north,in,20
2026-05-16,d05,north,in,28
2026-05-16,d05,north,in,21
2026-05-16,e02,north,in,33
2026-05-16,e07,north,in,42
2026-05-16,f02,north,in,20
2026-05-16,s03,north,in,63
2026-05-16,f04,south,in,51
