date,sku_id,warehouse,direction,qty
2026-03-11,a08,central,out,4
2026-03-11,c04,central,out,4
2026-03-11,c08,central,out,2
2026-03-11,c08,central,out,2
2026-03-11,d05,central,out,2
2026-03-11,d06,central,out,4
2026-03-11,d07,central,out,4
2026-03-11,e05,central,out,2
2026-03-11,e05,central,out,2
2026-03-11,e08,central,out,4
2026-03-11,e09,central,out,1
2026-03-11,f03,central,out,2
2026-03-11,f05,central,out,4
2026-03-11,f08,central,out,3
2026-03-11,f08,central,out,3
2026-03-11,s02,central,out,1
2026-03-11,s04,central,out,1
2026-03-11,s05,central,out,4
2026-03-11,s08,central,out,3
2026-03-11,a01,north,out,3
2026-03-11,a04,north,out,1
2026-03-11,a09,north,out,4
2026-03-11,c02,north,out,2
2026-03-11,c02,north,out,1
2026-03-11,c03,north,out,3
2026-03-11,c05,north,out,2
2026-03-11,c10,north,out,2
2026-03-11,d01,north,out,1
2026-03-11,d06,north,out,2
2026-03-11,d08,north,out,1
2026-03-11,d08,north,out,1
2026-03-11,d09,north,out,1
2026-03-11,e10,north,out,3
2026-03-11,f01,north,out,3
2026-03-11,f02,north,out,4
2026-03-11,f04,north,out,2
2026-03-11,f06,north,out,4
2026-03-11,f06,north,out,3
2026-03-11,f07,north,out,1
2026-03-11,f07,north,out,2
2026-03-11,f09,north,out,4
2026-03-11,s01,north,out,2
2026-03-11,s02,north,out,4
2026-03-11,s03,north,out,4
2026-03-11,s03,north,out,1
2026-03-11,s05,north,out,3
2026-03-11,s07,north,out,3
2026-03-11,s08,north,out,3
2026-03-11,c07,south,out,3
2026-03-11,c10,south,out,4
2026-03-11,c10,south,out,3
2026-03-11,d03,south,out,3
2026-03-11,e02,south,out,3
2026-03-11,e08,south,out,3
2026-03-11,e09,south,out,1
2026-03-11,f01,south,out,1
2026-03-11,f07,south,out,1
2026-03-11,f10,south,out,4
2026-03-11,s01,south,out,3
2026-03-11,s02,south,out,1
2026-03-11,s05,south,out,4
2026-03-11,s08,south,out,2
