date,sku_id,warehouse,direction,qty
2026-05-06,e06,central,out,3
2026-05-06,f02,central,out,2
2026-05-06,s01,central,out,1
2026-05-06,s05,central,out,4
2026-05-06,s05,central,out,3
2026-05-06,s09,central,out,2
2026-05-06,a07,north,out,2
2026-05-06,a09,north,out,4
2026-05-06,c05,north,out,3
2026-05-06,d01,north,out,2
2026-05-06,d07,north,out,4
2026-05-06,e01,north,out,1
2026-05-06,e06,north,out,3
2026-05-06,e09,north,out,2
2026-05-06,f04,north,out,2
2026-05-06,f05,north,out,3
2026-05-06,s03,north,out,2
2026-05-06,s04,north,out,2
2026-05-06,s04,north,out,2
2026-05-06,s05,north,out,1
2026-05-06,s06,north,out,4
2026-05-06,s07,north,out,4
2026-05-06,a08,south,out,2
2026-05-06,c08,south,out,2
2026-05-06,c09,south,out,4
2026-05-06,d09,south,out,4
2026-05-06,f01,south,out,2
2026-05-06,f06,south,out,3
2026-05-06,f10,south,out,4
2026-05-06,s08,south,out,1
