date,sku_id,warehouse,direction,qty
2026-03-03,c03,central,out,1
2026-03-03,c03,central,out,4
2026-03-03,c03,central,out,1
2026-03-03,c06,central,out,2
2026-03-03,c06,central,out,3
2026-03-03,c10,central,out,4
2026-03-03,c10,central,out,3
2026-03-03,d03,central,out,1
2026-03-03,d07,central,out,3
2026-03-03,e02,central,out,1
2026-03-03,e04,central,out,4
2026-03-03,e05,central,out,1
2026-03-03,e06,central,out,1
2026-03-03,f02,central,out,3
2026-03-03,f07,central,out,1
2026-03-03,s01,central,out,4
2026-03-03,s04,central,out,4
2026-03-03,s09,central,out,3
2026-03-03,s09,central,out,2
2026-03-03,a04,north,out,3
2026-03-03,a06,north,out,2
2026-03-03,c02,north,out,2
2026-03-03,c02,north,out,3
2026-03-03,c04,north,out,3
2026-03-03,c05,north,out,1
2026-03-03,c05,north,out,4
2026-03-03,c08,north,out,3
2026-03-03,c09,north,out,1
2026-03-03,e02,north,out,2
2026-03-03,e05,north,out,1
2026-03-03,e06,north,out,4
2026-03-03,f02,north,out,1
2026-03-03,f06,north,out,1
2026-03-03,f08,north,out,2
2026-03-03,s01,north,out,4
2026-03-03,s04,north,out,2
2026-03-03,s05,north,out,2
2026-03-03,s06,north,out,3
2026-03-03,s09,north,out,2
2026-03-03,a02,south,out,2
2026-03-03,a04,south,out,2
2026-03-03,c05,south,out,3
2026-03-03,c07,south,out,1
2026-03-03,c09,south,out,3
2026-03-03,c10,south,out,2
2026-03-03,d01,south,out,1
2026-03-03,d05,south,out,2
2026-03-03,d10,south,out,1
2026-03-03,e01,south,out,3
2026-03-03,e01,south,out,1
2026-03-03,e04,south,out,2
2026-03-03,f10,south,out,4
2026-03-03,s04,south,out,1
2026-03-03,s04,south,out,1
2026-03-03,s05,south,out,3
2026-03-03,s05,south,out,2
2026-03-03,s05,south,out,4
2026-03-03,s06,south,out,2
2026-03-03,s10,south,out,4
