date,sku_id,warehouse,direction,qty
2026-03-23,a03,central,out,1
2026-03-23,c03,central,out,1
2026-03-23,c04,central,out,1
2026-03-23,c05,central,out,1
2026-03-23,c07,central,out,4
2026-03-23,d02,central,out,2
2026-03-23,d03,central,out,3
2026-03-23,e03,central,out,4
2026-03-23,f02,central,out,4
2026-03-23,f03,central,out,2
2026-03-23,s04,central,out,4
2026-03-23,s05,central,out,1
2026-03-23,a10,north,out,2
2026-03-23,c06,north,out,2
2026-03-23,c08,north,out,2
2026-03-23,d08,north,out,1
2026-03-23,e01,north,out,3
2026-03-23,e04,north,out,1
2026-03-23,e04,north,out,1
2026-03-23,e06,north,out,3
2026-03-23,e06,north,out,1
2026-03-23,e09,north,out,4
2026-03-23,f04,north,out,2
2026-03-23,f05,north,out,1
2026-03-23,f07,north,out,3
2026-03-23,f09,north,out,4
2026-03-23,s01,north,out,4
2026-03-23,s03,north,out,4
2026-03-23,s05,north,out,1
2026-03-23,s08,north,out,3
2026-03-23,a09,south,out,2
2026-03-23,a09,south,out,4
2026-03-23,c03,south,out,3
2026-03-23,c07,south,out,1
2026-03-23,d06,south,out,3
2026-03-23,e01,south,out,2
2026-03-23,e02,south,out,3
2026-03-23,e03,south,out,3
2026-03-23,e07,south,out,4
2026-03-23,e10,south,out,1
2026-03-23,f07,south,out,3
2026-03-23,f08,south,out,2
2026-03-23,s08,south,out,1
